Building,Google ID
St Andrews Building,ChIJD0Stdi1EiEgRsn0lWEAV7z8
Kelvin Hall,ChIJhRwc-tBFiEgRbLs3EJOuEig
Glasgow International College,ChIJMzCIb9BFiEgR-LwdRaBhrdQ
Robertson Building,ChIJYyiDbdBFiEgRGLLfrbcDwYk
Sir James Black Building,ChIJYRuo11VFiEgRi2ILuTeBsm4
Wolfson Building,ChIJKTPrv9FFiEgREkMybz56fhc
Davidson Building,ChIJVexUldFFiEgRb37cMcDU_Zk
Mathematics and Statistics Building,ChIJOdhm0M9FiEgR0PCSj-1ruOo
Joseph Black Building,ChIJFZh619FFiEgRL9HM5HzHDUY
Western Infirmary Lecture Theatre,ChIJLWFwK9BFiEgRxV-D6wW5Y6A
Graham Kerr Building,ChIJ9UILxdFFiEgRcczDSTMY9Lc
Kelvin Building,ChIJM_Cx6NFFiEgROGh-l5kua14
Isabella Elder Building,ChIJWZZkIM5FiEgRuRP-gqXCvz8
Bower Building,ChIJKxNqHc5FiEgRUDhgy5vB5Ho
Main Gatehouse,ChIJew08CNJFiEgRgV2UMo_7f_c
McIntyre Building,ChIJL2uwC9JFiEgRaam4HexBjJA
Main Building,ChIJn4ZuE9JFiEgRdhzg783aTB8
Thomson Building,ChIJoerpY9JFiEgRvCQuD1JJ99M
James Watt Building,ChIJwcYVXtJFiEgRxDxA7xSRP6Y
Pearce Lodge,ChIJQ-kMhdJFiEgRVyBHMuU_DPM
Gilmorehill Halls,ChIJx-oip9JFiEgRacVDfr4dvzc
Sir Charles Wilson Building,ChIJXyNVWM1FiEgR9qmOfMVWvbg
Glasgow University Union,ChIJ3SIsZltFiEgRVjcb8D94KPE
Rankine Building,ChIJc3W5Ys1FiEgRt8DTFuQz4ek
Stevenson Sports Building,ChIJDzwZ_M1FiEgRitkYgL-3uzc
Ivy Lodge,ChIJfwX7b81FiEgRa4hZbkmv25k
Southpark House,ChIJT2yKn81FiEgRdhvXVspgqNM
Florentine House,ChIJGSA-l81FiEgRkFrZd0fhMQs
The Fraser Building,ChIJs2n0CtJFiEgRdLveBYNVzjk
McMillan Round Reading Room,ChIJVdE7ic1FiEgRf_rCeHQLg6U
Hetherington Building,ChIJjVaouM1FiEgR_QmN8kKGNVI
Glasgow University Library,ChIJ615vB81FiEgR8IC4Yq2kyY8
Hunterian Art Gallery,ChIJH_6uC9JFiEgRaLKOGXtG1L8
Adam Smith Building,ChIJ-eWF3c1FiEgRkezEd5t9xkc
Lilybank House,ChIJ2_88381FiEgR1bwwYUH5SHY
Sir Alwyn Williams Building,ChIJFc5QbM5FiEgRCVjAxHj7kZg
Queen Margaret Union,ChIJV03TEs5FiEgR8VtLsutgOa4
Sir Alexander Stone Building,ChIJHS6QC85FiEgRg4kfcZYiD1g
Gregory Building,ChIJF4LEQ85FiEgRpwB6A_HsVac
Boyd Orr Building,ChIJ84mnP85FiEgRggBlYJGkBVc